T10000	Aaptosyax grypus	T137160
T10001	Abalistes filamentosus	T137161
T10002	Abalistes stellaris	T137161
T10003	Abalistes stellatus	T137161
T10004	Abbottina liaoningensis	T137162
T10005	Abbottina obtusirostris	T137162
T10006	Abbottina rivularis	T137162
T10007	Ablabys binotatus	T137163
T10008	Ablabys macracanthus	T137163
T10009	Ablabys taenianotus	T137163
T10010	Ablennes hians	T137164
T10011	Aboma etheostoma	T137165
T10012	Aboma lactipes	T137165
T10013	Aborichthys elongatus	T137166
T10014	Aborichthys garoensis	T137166
T10015	Aborichthys kempi	T137166
T10016	Abramis bjoerkna	T137167
T10017	Abramis brama	T137167
T10018	Abramites eques	T137168
T10019	Abramites hypselonotus	T137168
T10020	Abudefduf abdominalis	T137169
T10021	Abudefduf bengalensis	T137169
T10022	Abudefduf concolor	T137169
T10023	Abudefduf conformis	T137169
T10024	Abudefduf declivifrons	T137169
T10025	Abudefduf hoefleri	T137169
T10026	Abudefduf lorenzi	T137169
T10027	Abudefduf luridus	T137169
T10028	Abudefduf margariteus	T137169
T10029	Abudefduf natalensis	T137169
T10030	Abudefduf notatus	T137169
T10031	Abudefduf saxatilis	T137169
T10032	Abudefduf septemfasciatus	T137169
T10033	Abudefduf sexfasciatus	T137169
T10034	Abudefduf sordidus	T137169
T10035	Abudefduf sparoides	T137169
T10036	Abudefduf taurus	T137169
T10037	Abudefduf troschelii	T137169
T10038	Abudefduf vaigiensis	T137169
T10039	Abudefduf whitleyi	T137169
T10040	Abyssobrotula galatheae	T137170
T10041	Abyssocottus gibbosus	T137171
T10042	Abyssocottus korotneffi	T137171
T10043	Acanthalburnus microlepis	T137172
T10044	Acanthaluteres brownii	T137173
T10045	Acanthaluteres brwonii	T137173
T10046	Acanthaluteres spilomelanurus	T137173
T10047	Acanthaluteres vittiger	T137173
T10048	Acanthanectes hystrix	T137174
T10049	Acanthanectes rufus	T137174
T10050	Acanthaphritis barbata	T137175
T10051	Acanthaphritis ozawai	T137175
T10052	Acantharchus pomotis	T137176
T10053	Acanthemblemaria aspera	T137177
T10054	Acanthemblemaria atrata	T137177
T10055	Acanthemblemaria balanorum	T137177
T10056	Acanthemblemaria betinensis	T137177
T10057	Acanthemblemaria castroi	T137177
T10058	Acanthemblemaria chaplini	T137177
T10059	Acanthemblemaria crockeri	T137177
T10060	Acanthemblemaria cubana	T137177
T10061	Acanthemblemaria exilispinus	T137177
T10062	Acanthemblemaria greenfieldi	T137177
T10063	Acanthemblemaria hancocki	T137177
T10064	Acanthemblemaria johnsoni	T137177
T10065	Acanthemblemaria macrospilus	T137177
T10066	Acanthemblemaria mangognatha	T137177
T10067	Acanthemblemaria maria	T137177
T10068	Acanthemblemaria medusa	T137177
T10069	Acanthemblemaria paula	T137177
T10070	Acanthemblemaria rivasi	T137177
T10071	Acanthemblemaria spinosa	T137177
T10072	Acanthemblemaria stephensi	T137177
T10073	Acanthicus adonis	T137178
T10074	Acanthicus hystrix	T137178
T10075	Acanthistius brasilianus	T137179
T10076	Acanthistius brasiliensis	T137179
T10077	Acanthistius cinctus	T137179
T10078	Acanthistius fuscus	T137179
T10079	Acanthistius joanae	T137179
T10080	Acanthistius ocellatus	T137179
T10081	Acanthistius patachonicus	T137179
T10082	Acanthistius pictus	T137179
T10083	Acanthistius sebastoides	T137179
T10084	Acanthistius serratus	T137179
T10085	Acanthobrama hulensis	T137180
T10086	Acanthobrama lissneri	T137180
T10087	Acanthobrama marmid	T137180
T10088	Acanthobrama telavivensis	T137180
T10089	Acanthobrama terraesanctae	T137180
T10090	Acanthobunocephalus nicoi	T137181
T10091	Acanthocepola abbreviata	T137182
T10092	Acanthocepola indica	T137182
T10093	Acanthocepola krusensternii	T137182
T10094	Acanthocepola limbata	T137182
T10095	Acanthochaenus luetkenii	T137183
T10096	Acanthocharax microlepis	T137184
T10097	Acanthochromis polyacanthus	T137185
T10098	Acanthocleithron chapini	T137186
T10099	Acanthoclinus fuscus	T137187
T10100	Acanthoclinus littoreus	T137187
T10101	Acanthoclinus marilynae	T137187
T10102	Acanthoclinus rua	T137187
T10103	Acanthocobitis botia	T137188
T10104	Acanthocobitis rubidipinnis	T137188
T10105	Acanthocobitis urophthalmus	T137188
T10106	Acanthocobitis zonalternans	T137188
T10107	Acanthocybium solandri	T137189
T10108	Acanthodoras cataphractus	T137190
T10109	Acanthodoras depressus	T137190
T10110	Acanthodoras spinosissimus	T137190
T10111	Acanthogobio guentheri	T137191
T10112	Acanthogobius flavimanus	T137192
T10113	Acanthogobius hasta	T137192
T10114	Acanthogobius lactipes	T137192
T10115	Acanthogobius luridus	T137192
T10116	Acantholabrus palloni	T137193
T10117	Acantholiparis caecus	T137194
